speed, delay, light_length, seconds_with, seconds_against, time_saved, time_saved_percent
3.0,0,30,2409.26666667,2409.26666667,0.0,0.0
3.1,0,30,2397.5,2397.5,0.0,0.0
3.2,0,30,2393.5,2393.5,0.0,0.0
3.3,0,30,2389.5,2389.5,0.0,0.0
3.4,0,30,2386.5,2386.5,0.0,0.0
3.5,0,30,2384.5,2384.5,0.0,0.0
3.6,0,30,2380.5,2380.5,0.0,0.0
3.7,0,30,2377.5,2377.5,0.0,0.0
3.8,0,30,2375.5,2375.5,0.0,0.0
3.9,0,30,2373.5,2373.5,0.0,0.0
4.0,0,30,2370.5,2370.5,0.0,0.0
3.0,0,35,2781.5,2781.5,0.0,0.0
3.1,0,35,2777.5,2777.5,0.0,0.0
3.2,0,35,2773.5,2773.5,0.0,0.0
3.3,0,35,2769.5,2769.5,0.0,0.0
3.4,0,35,2766.5,2766.5,0.0,0.0
3.5,0,35,2764.5,2764.5,0.0,0.0
3.6,0,35,2760.5,2760.5,0.0,0.0
3.7,0,35,2757.5,2757.5,0.0,0.0
3.8,0,35,2755.5,2755.5,0.0,0.0
3.9,0,35,2753.5,2753.5,0.0,0.0
4.0,0,35,2750.5,2750.5,0.0,0.0
3.0,0,40,3161.5,3161.5,0.0,0.0
3.1,0,40,3157.5,3157.5,0.0,0.0
3.2,0,40,3153.5,3153.5,0.0,0.0
3.3,0,40,3149.5,3149.5,0.0,0.0
3.4,0,40,3146.5,3146.5,0.0,0.0
3.5,0,40,3144.5,3144.5,0.0,0.0
3.6,0,40,3140.5,3140.5,0.0,0.0
3.7,0,40,3137.5,3137.5,0.0,0.0
3.8,0,40,3135.5,3135.5,0.0,0.0
3.9,0,40,3133.5,3133.5,0.0,0.0
4.0,0,40,3130.5,3130.5,0.0,0.0
3.0,0,45,3541.5,3541.5,0.0,0.0
3.1,0,45,3537.5,3537.5,0.0,0.0
3.2,0,45,3533.5,3533.5,0.0,0.0
3.3,0,45,3529.5,3529.5,0.0,0.0
3.4,0,45,3526.5,3526.5,0.0,0.0
3.5,0,45,3524.5,3524.5,0.0,0.0
3.6,0,45,3520.5,3520.5,0.0,0.0
3.7,0,45,3517.5,3517.5,0.0,0.0
3.8,0,45,3515.5,3515.5,0.0,0.0
3.9,0,45,3513.5,3513.5,0.0,0.0
4.0,0,45,3510.5,3510.5,0.0,0.0
3.0,0,50,3921.5,3921.5,0.0,0.0
3.1,0,50,3917.5,3917.5,0.0,0.0
3.2,0,50,3913.5,3913.5,0.0,0.0
3.3,0,50,3909.5,3909.5,0.0,0.0
3.4,0,50,3906.5,3906.5,0.0,0.0
3.5,0,50,3904.5,3904.5,0.0,0.0
3.6,0,50,3900.5,3900.5,0.0,0.0
3.7,0,50,2021.51,2021.51,0.0,0.0
3.8,0,50,2018.06,2018.06,0.0,0.0
3.9,0,50,2015.12,2015.12,0.0,0.0
4.0,0,50,2010.75,2010.75,0.0,0.0
3.0,0,55,4301.5,4301.5,0.0,0.0
3.1,0,55,4297.5,4297.5,0.0,0.0
3.2,0,55,4293.5,4293.5,0.0,0.0
3.3,0,55,2419.5,2419.5,0.0,0.0
3.4,0,55,2222.03636364,2222.03636364,0.0,0.0
3.5,0,55,2218.14545455,2218.14545455,0.0,0.0
3.6,0,55,2213.22727273,2213.22727273,0.0,0.0
3.7,0,55,2209.32727273,2209.32727273,0.0,0.0
3.8,0,55,2206.00909091,2206.00909091,0.0,0.0
3.9,0,55,2203.15454545,2203.15454545,0.0,0.0
4.0,0,55,2198.90909091,2198.90909091,0.0,0.0
3.0,0,60,4500.5,4500.5,0.0,0.0
3.1,0,60,2425.53333333,2425.53333333,0.0,0.0
3.2,0,60,2419.63333333,2419.63333333,0.0,0.0
3.3,0,60,2414.70833333,2414.70833333,0.0,0.0
3.4,0,60,2409.90833333,2409.90833333,0.0,0.0
3.5,0,60,2406.175,2406.175,0.0,0.0
3.6,0,60,2401.33333333,2401.33333333,0.0,0.0
3.7,0,60,2397.50833333,2397.50833333,0.0,0.0
3.8,0,60,2394.3,2394.3,0.0,0.0
3.9,0,60,2391.51666667,2391.51666667,0.0,0.0
4.0,0,60,2387.375,2387.375,0.0,0.0
3.0,0,65,2618.73076923,2618.73076923,0.0,0.0
3.1,0,65,2613.37692308,2613.37692308,0.0,0.0
3.2,0,65,2607.62307692,2607.62307692,0.0,0.0
3.3,0,65,2602.76923077,2602.76923077,0.0,0.0
3.4,0,65,2598.10769231,2598.10769231,0.0,0.0
3.5,0,65,2594.50769231,2594.50769231,0.0,0.0
3.6,0,65,2589.73076923,2589.73076923,0.0,0.0
3.7,0,65,2585.96923077,2585.96923077,0.0,0.0
3.8,0,65,2582.85384615,2582.85384615,0.0,0.0
3.9,0,65,2580.13076923,2580.13076923,0.0,0.0
4.0,0,65,2576.07692308,2576.07692308,0.0,0.0
3.0,0,70,2806.78571429,2806.78571429,0.0,0.0
3.1,0,70,2801.52857143,2801.52857143,0.0,0.0
3.2,0,70,2795.9,2795.9,0.0,0.0
3.3,0,70,2791.10714286,2791.10714286,0.0,0.0
3.4,0,70,2786.56428571,2786.56428571,0.0,0.0
3.5,0,70,2783.07857143,2783.07857143,0.0,0.0
3.6,0,70,2778.35714286,2778.35714286,0.0,0.0
3.7,0,70,2774.65,2774.65,0.0,0.0
3.8,0,70,2771.61428571,2771.61428571,0.0,0.0
3.9,0,70,2768.94285714,2768.94285714,0.0,0.0
4.0,0,70,2764.96428571,2764.96428571,0.0,0.0
3.0,0,75,2995.1,2995.1,0.0,0.0
3.1,0,75,2989.92666667,2989.92666667,0.0,0.0
3.2,0,75,2984.40666667,2984.40666667,0.0,0.0
3.3,0,75,2979.66666667,2979.66666667,0.0,0.0
3.4,0,75,2975.22666667,2975.22666667,0.0,0.0
3.5,0,75,2971.84,2971.84,0.0,0.0
3.6,0,75,2967.16666667,2967.16666667,0.0,0.0
3.7,0,75,2963.50666667,2963.50666667,0.0,0.0
3.8,0,75,2960.54,2960.54,0.0,0.0
3.9,0,75,2957.91333333,2957.91333333,0.0,0.0
4.0,0,75,2954.0,2954.0,0.0,0.0
3.0,0,80,3183.625,3183.625,0.0,0.0
3.1,0,80,3178.525,3178.525,0.0,0.0
3.2,0,80,3173.1,3173.1,0.0,0.0
3.3,0,80,3168.40625,3168.40625,0.0,0.0
3.4,0,80,3164.05625,3164.05625,0.0,0.0
3.5,0,80,3160.75625,3160.75625,0.0,0.0
3.6,0,80,3156.125,3156.125,0.0,0.0
3.7,0,80,3152.50625,3152.50625,0.0,0.0
3.8,0,80,3149.6,3149.6,0.0,0.0
3.9,0,80,3147.0125,3147.0125,0.0,0.0
4.0,0,80,3143.15625,3143.15625,0.0,0.0
3.0,0,85,3372.32352941,3372.32352941,0.0,0.0
3.1,0,85,3367.28823529,3367.28823529,0.0,0.0
3.2,0,85,3361.94705882,3361.94705882,0.0,0.0
3.3,0,85,3357.29411765,3357.29411765,0.0,0.0
3.4,0,85,3353.02352941,3353.02352941,0.0,0.0
3.5,0,85,3349.8,3349.8,0.0,0.0
3.6,0,85,3345.20588235,3345.20588235,0.0,0.0
3.7,0,85,3341.62352941,3341.62352941,0.0,0.0
3.8,0,85,3338.77058824,3338.77058824,0.0,0.0
3.9,0,85,3336.21764706,3336.21764706,0.0,0.0
4.0,0,85,3332.41176471,3332.41176471,0.0,0.0
3.0,0,90,3561.16666667,3561.16666667,0.0,0.0
3.1,0,90,3556.18888889,3556.18888889,0.0,0.0
3.2,0,90,3550.92222222,3550.92222222,0.0,0.0
3.3,0,90,3546.30555556,3546.30555556,0.0,0.0
3.4,0,90,3542.10555556,3542.10555556,0.0,0.0
3.5,0,90,3538.95,3538.95,0.0,0.0
3.6,0,90,3534.38888889,3534.38888889,0.0,0.0
3.7,0,90,3530.83888889,3530.83888889,0.0,0.0
3.8,0,90,3528.03333333,3528.03333333,0.0,0.0
3.9,0,90,3525.51111111,3525.51111111,0.0,0.0
4.0,0,90,3521.75,3521.75,0.0,0.0
3.0,1,30,2439.5,2442.71666667,3.21666666667,0.00131683985726
3.1,1,30,2435.5,2359.5,-76.0,-0.0322102140284
3.2,1,30,2431.5,2355.5,-76.0,-0.0322649119083
3.3,1,30,2427.5,2351.5,-76.0,-0.032319795875
3.4,1,30,2424.5,2348.5,-76.0,-0.0323610815414
